epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3107,2.08276,5.8227,0.02211,0.00481,1,0.25993,0.23069,0.59975,4.81982,0.00819,0.00011669,0.00011669,0.00011669
2,19.2362,1.5069,5.32773,0.01604,0.00771,1,0.40143,0.15657,0.74335,5.30256,0.01157,0.000247575,0.000247575,0.000247575
3,20.7879,1.30831,4.94494,0.01297,0.00828,1,0.61914,0.48682,0.97202,5.05336,0.01512,0.000375818,0.000375818,0.000375818
4,22.3533,1.21179,4.91128,0.01322,0.00834,1,0.77,0.60024,1.10394,4.72521,0.01796,0.000501422,0.000501422,0.000501422
5,23.9244,1.29997,4.17898,0.01321,0.00781,1,0.76881,0.37676,0.84412,5.05795,0.01319,0.000624385,0.000624385,0.000624385
6,25.389,1.33912,4.07454,0.0134,0.00784,1,0.92,0.73484,0.69055,3.96978,0.01039,0.000744707,0.000744707,0.000744707
7,26.9499,1.36081,3.88443,0.01382,0.00766,1,0.92208,0.43605,1.2057,4.53868,0.01761,0.000862389,0.000862389,0.000862389
8,28.376,1.32679,3.97222,0.01336,0.0074,1,0.97,0.66194,1.11202,3.98451,0.01755,0.00097743,0.00097743,0.00097743
9,29.8479,1.32857,3.60351,0.01287,0.00817,1,0.995,0.59968,0.89456,3.78377,0.01305,0.00108983,0.00108983,0.00108983
10,31.3432,1.34644,3.58976,0.01368,0.15805,1,0.92208,0.71219,0.60825,3.39493,0.00842,0.00119959,0.00119959,0.00119959
11,32.8082,1.41092,3.41218,0.0139,0.63312,1,0.97,0.641,1.45564,2.9403,0.02377,0.00130671,0.00130671,0.00130671
12,34.3123,1.42319,3.34631,0.01481,0.75629,0.98958,0.97,0.63581,1.14173,2.96596,0.01747,0.00141119,0.00141119,0.00141119
13,35.7699,1.36265,3.15526,0.01402,0.58817,0.94376,0.97,0.67717,0.89235,2.86492,0.0133,0.00146896,0.00146896,0.00146896
14,37.1971,1.33377,3.19466,0.01353,0.5648,1,0.995,0.67966,0.64931,2.96707,0.00962,0.00145246,0.00145246,0.00145246
15,38.6344,1.31564,2.86583,0.01274,0.51444,1,0.89083,0.71393,0.6687,2.71171,0.01,0.00143595,0.00143595,0.00143595
16,40.1178,1.22502,2.71714,0.01264,0.75439,0.75,0.8825,0.57218,1.09575,2.93212,0.01807,0.00141945,0.00141945,0.00141945
17,41.5462,1.22133,2.81919,0.01329,0.85384,0.875,0.92556,0.63241,0.94214,2.85937,0.0138,0.00140295,0.00140295,0.00140295
18,42.9898,1.3463,2.70942,0.014,0.96181,0.75,0.92208,0.69621,1.15704,2.74078,0.01855,0.00138644,0.00138644,0.00138644
19,44.5205,1.27317,2.46306,0.01191,0.88238,0.8504,0.9325,0.56713,1.46488,3.01079,0.02514,0.00136994,0.00136994,0.00136994
20,45.9985,1.28343,2.59214,0.01375,0.86994,0.73824,0.87,0.56778,1.21097,2.97999,0.02156,0.00135344,0.00135344,0.00135344
21,47.5019,1.23358,2.1353,0.01171,0.81699,0.85284,0.95333,0.68217,1.16081,2.3947,0.01853,0.00133693,0.00133693,0.00133693
22,48.9653,1.22458,2.32948,0.01243,0.85946,0.875,0.97,0.70683,1.13914,2.29066,0.01791,0.00132043,0.00132043,0.00132043
23,50.417,1.21018,2.29762,0.01229,0.91438,0.95542,0.995,0.77814,0.94584,2.12166,0.01447,0.00130393,0.00130393,0.00130393
24,51.8509,1.26023,2.22754,0.01272,0.83423,0.99304,0.97,0.80047,1.03473,1.75558,0.01639,0.00128742,0.00128742,0.00128742
25,53.4046,1.21302,2.19872,0.01168,0.75024,1,0.945,0.77265,1.07158,1.75853,0.01637,0.00127092,0.00127092,0.00127092
26,54.854,1.20397,2.06605,0.01242,0.72395,0.99016,0.97,0.78731,0.85857,1.51144,0.01316,0.00125442,0.00125442,0.00125442
27,56.2928,1.1336,2.01501,0.0115,0.77086,0.875,0.97,0.7641,0.93327,1.61635,0.01432,0.00123791,0.00123791,0.00123791
28,57.7325,1.16937,1.90152,0.01093,0.76169,1,0.995,0.84765,0.83654,1.29819,0.0124,0.00122141,0.00122141,0.00122141
29,59.1799,1.12869,1.87553,0.01146,0.71855,0.9945,0.97,0.81162,0.83219,1.18474,0.01226,0.00120491,0.00120491,0.00120491
30,60.6772,1.22272,1.75095,0.01196,0.93349,0.875,0.97,0.78987,0.82144,1.12984,0.01223,0.0011884,0.0011884,0.0011884
31,62.1058,1.22183,1.81951,0.01274,0.87256,0.97906,0.995,0.81448,1.01862,1.21899,0.01604,0.0011719,0.0011719,0.0011719
32,63.5563,1.17827,1.82958,0.0128,0.8514,0.875,0.97,0.80285,1.00562,1.17667,0.01584,0.0011554,0.0011554,0.0011554
33,65.0161,1.14758,1.70321,0.012,0.66341,1,0.995,0.87542,0.72066,1.2405,0.01031,0.00113889,0.00113889,0.00113889
34,66.4646,1.21827,1.63961,0.01179,0.71532,0.961,0.995,0.87095,0.7245,1.19854,0.01009,0.00112239,0.00112239,0.00112239
35,67.9151,1.20345,1.6169,0.0119,0.8209,0.97699,0.995,0.81702,0.78914,1.07096,0.01108,0.00110589,0.00110589,0.00110589
36,69.3993,1.26439,1.66579,0.01163,0.85782,0.95924,0.995,0.85869,0.77526,0.84762,0.011,0.00108938,0.00108938,0.00108938
37,70.9047,1.21161,1.62996,0.01157,0.81316,0.99038,0.995,0.78481,1.00482,0.9437,0.01519,0.00107288,0.00107288,0.00107288
38,72.3842,1.19974,1.51343,0.01164,0.65788,1,0.995,0.8341,0.93547,1.2007,0.01438,0.00105638,0.00105638,0.00105638
39,73.7997,1.15566,1.42439,0.01138,0.82348,0.96947,0.995,0.87916,0.73878,0.96619,0.01099,0.00103987,0.00103987,0.00103987
40,75.3049,1.24034,1.49186,0.01144,0.92845,1,0.995,0.90621,0.77956,0.49088,0.01143,0.00102337,0.00102337,0.00102337
41,76.7728,1.1317,1.35669,0.01083,0.86363,1,0.995,0.84169,0.72269,0.55765,0.01101,0.00100687,0.00100687,0.00100687
42,78.2956,1.139,1.37905,0.01146,0.81446,1,0.995,0.85449,0.76527,0.69499,0.01121,0.000990365,0.000990365,0.000990365
