epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4498,1.66605,8.48068,0.01709,0.00388,1,0.20242,0.1692,0.64063,5.04173,0.00855,0.00020004,0.00020004,0.00020004
2,23.4578,1.27519,6.79355,0.01122,0.00446,1,0.17005,0.09039,0.66255,5.37724,0.00722,0.000412624,0.000412624,0.000412624
3,25.413,1.28487,6.7723,0.01209,0.00459,1,0.43794,0.15801,0.71941,5.36189,0.00865,0.000620917,0.000620917,0.000620917
4,27.3155,1.24572,6.46812,0.01172,0.00393,0.75,0.37306,0.18157,0.7873,5.13463,0.00892,0.00082492,0.00082492,0.00082492
5,29.3336,1.21593,6.16289,0.01086,0.00427,1,0.995,0.5518,1.25792,4.4403,0.01854,0.00102463,0.00102463,0.00102463
6,31.1646,1.29078,5.59464,0.01097,0.90829,0.5,0.995,0.69087,1.25423,3.80571,0.01718,0.00122005,0.00122005,0.00122005
7,33.1335,1.19054,5.94841,0.01084,1,0.43347,0.78667,0.40179,1.53991,4.28072,0.02146,0.00141118,0.00141118,0.00141118
8,35.1838,1.2035,5.37377,0.01058,0.70789,0.5,0.65846,0.37864,1.23334,4.55009,0.01596,0.00155148,0.00155148,0.00155148
9,37.2798,1.13363,5.79314,0.01005,0.70789,0.5,0.65846,0.37864,1.23334,4.55009,0.01596,0.00153497,0.00153497,0.00153497
10,39.2963,1.22316,5.68694,0.01104,0.61378,0.75,0.61763,0.3969,1.16971,3.88306,0.01638,0.00151847,0.00151847,0.00151847
11,41.0154,1.15099,5.57889,0.01022,0.2616,0.5,0.58382,0.25654,1.13564,4.09075,0.01621,0.00150197,0.00150197,0.00150197
12,42.8112,1.17486,5.32909,0.01114,0.44239,0.5,0.72,0.45027,1.0097,3.44724,0.0123,0.00148546,0.00148546,0.00148546
13,44.572,1.23398,4.78302,0.01095,0.49873,0.8225,0.78667,0.4726,1.16305,3.04276,0.01382,0.00146896,0.00146896,0.00146896
14,46.2973,1.13355,4.20396,0.0088,0.69607,0.71883,0.78667,0.49737,1.17408,2.86448,0.01444,0.00145246,0.00145246,0.00145246
15,48.0461,1.15515,4.83148,0.01012,0.69607,0.71883,0.78667,0.49737,1.17408,2.86448,0.01444,0.00143595,0.00143595,0.00143595
16,49.8601,1.32904,4.70443,0.0124,0.79157,0.93667,0.91167,0.42953,1.58428,3.49376,0.02313,0.00141945,0.00141945,0.00141945
17,51.7034,1.17271,3.96268,0.01022,0.92574,0.66303,0.91167,0.49327,1.37791,3.19751,0.01981,0.00140295,0.00140295,0.00140295
18,54.2883,1.2002,4.7417,0.01094,0.56159,0.75,0.87,0.6126,1.11712,2.91185,0.01384,0.00138644,0.00138644,0.00138644
19,56.404,1.17485,3.9773,0.01044,0.52666,0.75,0.87,0.61008,1.12639,2.82386,0.01402,0.00136994,0.00136994,0.00136994
