epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,549.219,0.77038,0.80891,0.05745,0.01445,0.92271,0.92963,0.95922,0.82143,0.60979,0.41767,0.0651,0.0061,0.000919704,0.000919704,0.000919704
38,561.661,0.74824,0.73238,0.05626,0.01604,0.87869,0.91542,0.96449,0.84398,0.57032,0.41225,0.06439,0.00461,0.000905557,0.000905557,0.000905557
39,573.845,0.7529,0.73358,0.05734,0.01326,0.88987,0.91166,0.9721,0.84085,0.62313,0.40975,0.06459,0.00711,0.00089141,0.00089141,0.00089141
40,586.246,0.73081,0.71986,0.05713,0.01051,0.86177,0.94472,0.9691,0.84032,0.62577,0.42272,0.06819,0.00702,0.000877263,0.000877263,0.000877263
41,598.97,0.79109,0.66835,0.05698,0.01648,0.91371,0.93507,0.96415,0.84424,0.59275,0.41306,0.06793,0.00712,0.000863116,0.000863116,0.000863116
42,611.62,0.77721,0.61897,0.05711,0.01654,0.8231,0.89947,0.95431,0.83067,0.61795,0.41331,0.06731,0.00715,0.000848969,0.000848969,0.000848969
43,623.693,0.72281,0.65912,0.05541,0.01145,0.93407,0.83745,0.96805,0.83921,0.59608,0.42269,0.06745,0.00601,0.000834822,0.000834822,0.000834822
44,635.568,0.67377,0.60057,0.05633,0.01159,0.87746,0.921,0.97081,0.84405,0.59417,0.40102,0.06892,0.00663,0.000820675,0.000820675,0.000820675
45,647.347,0.71039,0.55613,0.06402,0.01769,0.86359,0.91938,0.96751,0.83914,0.63618,0.40242,0.06784,0.00678,0.000806528,0.000806528,0.000806528
46,659.292,0.76725,0.62452,0.05387,0.0151,0.90015,0.87656,0.97877,0.86557,0.59771,0.38267,0.07007,0.00656,0.00079238,0.00079238,0.00079238
47,671.704,0.75316,0.66086,0.06269,0.01921,0.95574,0.87925,0.9811,0.85461,0.6089,0.36151,0.07409,0.00781,0.000778233,0.000778233,0.000778233
48,683.387,0.70313,0.61301,0.05941,0.01241,0.95974,0.9266,0.98095,0.84636,0.61451,0.35646,0.07293,0.00718,0.000764086,0.000764086,0.000764086
49,695.426,0.72105,0.59438,0.05746,0.01483,0.94997,0.94482,0.98304,0.84828,0.59614,0.35493,0.07207,0.00674,0.000749939,0.000749939,0.000749939
50,707.184,0.72308,0.61382,0.0538,0.01872,0.87251,0.97558,0.9846,0.85004,0.62697,0.33685,0.06973,0.00819,0.000735792,0.000735792,0.000735792
51,719.291,0.72024,0.58218,0.05965,0.0113,0.93943,0.88492,0.98591,0.842,0.59254,0.35752,0.06947,0.0059,0.000721645,0.000721645,0.000721645
52,731.708,0.69215,0.58501,0.0569,0.01377,0.95376,0.91913,0.98806,0.85894,0.56684,0.32151,0.06804,0.00573,0.000707498,0.000707498,0.000707498
53,743.729,0.70005,0.56672,0.05639,0.01388,0.99081,0.91606,0.98558,0.8733,0.55812,0.32198,0.06706,0.00682,0.000693351,0.000693351,0.000693351
54,756.674,0.66833,0.49479,0.05158,0.01372,0.98158,0.90442,0.9821,0.87886,0.54007,0.3324,0.06836,0.00661,0.000679204,0.000679204,0.000679204
55,769.78,0.66694,0.51323,0.05766,0.00984,0.99475,0.90353,0.98374,0.87462,0.55406,0.33972,0.06914,0.00642,0.000665057,0.000665057,0.000665057
56,783.681,0.68718,0.49484,0.04999,0.01222,0.95121,0.88008,0.98502,0.86878,0.57327,0.34416,0.06807,0.00707,0.000650909,0.000650909,0.000650909
57,796.344,0.74748,0.55942,0.05563,0.01466,0.98541,0.92563,0.98366,0.85428,0.5946,0.3319,0.06783,0.00731,0.000636762,0.000636762,0.000636762
58,810.441,0.68203,0.5211,0.05775,0.01108,0.95195,0.91671,0.9837,0.85271,0.58029,0.33919,0.06857,0.0061,0.000622615,0.000622615,0.000622615
