epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0272,1.63605,7.02566,0.01857,0.01086,1,0.2214,0.16562,0.67875,4.97113,0.01004,0.00045009,0.00045009,0.00045009
2,20.5254,1.1774,6.00604,0.01203,0.00784,1,0.69974,0.52291,0.70389,4.52224,0.01049,0.000907773,0.000907773,0.000907773
3,24.0167,1.25872,5.43613,0.01327,0.36429,0.875,0.88852,0.63864,1.11874,4.01166,0.01727,0.00135621,0.00135621,0.00135621
4,27.8377,1.37138,5.87316,0.0156,0.5722,0.75,0.83111,0.46864,1.44953,4.57742,0.02496,0.00161749,0.00161749,0.00161749
5,31.4181,1.33093,5.31539,0.01463,0.34127,0.875,0.78964,0.56712,0.73499,3.55331,0.01022,0.00160099,0.00160099,0.00160099
6,34.8382,1.27061,4.88733,0.01376,0.87533,0.7847,0.95333,0.86392,0.79784,2.73598,0.01185,0.00158448,0.00158448,0.00158448
7,38.3698,1.26477,4.54221,0.01458,0.87415,0.86087,0.97,0.79914,1.03829,2.53169,0.01639,0.00156798,0.00156798,0.00156798
8,41.9036,1.19877,4.26155,0.01302,0.63336,0.77582,0.84083,0.54464,1.3819,3.0341,0.02161,0.00155148,0.00155148,0.00155148
9,45.5018,1.30203,3.88004,0.01288,0.86427,1,0.995,0.79835,0.91674,2.33086,0.0143,0.00153497,0.00153497,0.00153497
10,48.8731,1.18751,3.85332,0.01277,0.76692,0.96629,0.995,0.7062,1.20297,2.35487,0.01857,0.00151847,0.00151847,0.00151847
11,52.4743,1.24387,3.6526,0.01373,0.45822,0.875,0.89083,0.7229,0.92681,2.33034,0.01325,0.00150197,0.00150197,0.00150197
12,56.3742,1.22841,3.72934,0.01357,0.80379,0.87248,0.97,0.65449,1.43598,2.14106,0.02238,0.00148546,0.00148546,0.00148546
13,60.331,1.17078,3.3853,0.01249,0.93017,0.875,0.95333,0.79483,0.94506,2.37062,0.01404,0.00146896,0.00146896,0.00146896
14,64.2206,1.21721,3.46703,0.01354,0.93879,0.67744,0.97,0.72184,1.16206,2.20944,0.01842,0.00145246,0.00145246,0.00145246
15,67.8709,1.19586,3.09807,0.01254,0.68608,0.9705,0.995,0.71085,1.45198,2.27518,0.02439,0.00143595,0.00143595,0.00143595
16,71.4692,1.19858,3.3955,0.0128,0.91243,0.65289,0.92556,0.73971,1.22768,2.19499,0.01981,0.00141945,0.00141945,0.00141945
17,74.8532,1.2379,2.82566,0.0133,0.91468,0.96912,0.995,0.8038,1.05775,1.66318,0.01629,0.00140295,0.00140295,0.00140295
18,78.3934,1.20256,3.02903,0.01329,0.91665,0.99941,0.995,0.76581,1.25797,1.84793,0.02009,0.00138644,0.00138644,0.00138644
19,81.8859,1.19288,2.69558,0.01276,0.87522,1,0.995,0.74142,1.35771,1.73411,0.02199,0.00136994,0.00136994,0.00136994
20,85.2866,1.18874,2.66401,0.01257,0.83845,0.89447,0.995,0.76871,1.17054,1.6309,0.01858,0.00135344,0.00135344,0.00135344
21,88.8724,1.16404,2.7205,0.01325,0.8689,0.8811,0.995,0.83033,0.99478,1.56107,0.01497,0.00133693,0.00133693,0.00133693
22,92.3926,1.22547,2.41995,0.01242,0.85459,1,0.995,0.8266,1.06986,1.42739,0.01654,0.00132043,0.00132043,0.00132043
23,95.8866,1.23659,2.48821,0.01282,0.89168,0.97416,0.995,0.82663,0.89985,1.38738,0.01331,0.00130393,0.00130393,0.00130393
24,99.4754,1.13171,2.19142,0.01175,0.77087,0.91544,0.995,0.86029,0.69534,1.36517,0.00987,0.00128742,0.00128742,0.00128742
25,102.931,1.18,2.299,0.01279,0.9132,0.88685,0.995,0.70354,1.10541,1.28258,0.01663,0.00127092,0.00127092,0.00127092
26,106.399,1.2373,2.13257,0.01347,0.96576,1,0.995,0.77516,1.10382,0.9986,0.01702,0.00125442,0.00125442,0.00125442
27,109.798,1.12259,2.13619,0.01218,0.95916,1,0.995,0.83942,0.99881,0.93146,0.01563,0.00123791,0.00123791,0.00123791
28,113.242,1.15326,2.2632,0.01338,0.95074,1,0.995,0.63906,1.58134,1.06487,0.02638,0.00122141,0.00122141,0.00122141
29,116.646,1.17089,2.07025,0.01345,0.95828,0.97202,0.995,0.75103,1.12568,0.97436,0.01814,0.00120491,0.00120491,0.00120491
30,120.1,1.18723,1.89797,0.01222,0.86572,1,0.995,0.76025,0.96538,0.8327,0.01534,0.0011884,0.0011884,0.0011884
31,123.428,1.10681,1.9016,0.01164,0.98171,0.94665,0.995,0.69648,1.27836,0.8145,0.0203,0.0011719,0.0011719,0.0011719
32,126.768,1.18382,1.79345,0.01168,0.98532,0.89809,0.995,0.69488,1.36461,0.76057,0.02163,0.0011554,0.0011554,0.0011554
33,130.08,1.16535,1.89373,0.01235,0.97974,0.94601,0.995,0.72976,1.10146,0.54895,0.01706,0.00113889,0.00113889,0.00113889
34,133.405,1.15736,1.84822,0.01253,0.97204,0.8966,0.995,0.72171,1.08911,0.60897,0.01684,0.00112239,0.00112239,0.00112239
35,136.815,1.07978,1.65289,0.01096,0.97295,0.82129,0.995,0.68181,1.257,0.71098,0.01975,0.00110589,0.00110589,0.00110589
36,140.324,1.18389,1.61827,0.01172,0.96145,0.96135,0.995,0.63336,1.39089,0.67697,0.02232,0.00108938,0.00108938,0.00108938
37,143.708,1.09993,1.6908,0.01271,0.73736,1,0.95333,0.6512,1.39399,0.74632,0.02281,0.00107288,0.00107288,0.00107288
38,147,1.15432,1.56931,0.01206,0.58325,1,0.97,0.72078,1.10904,0.86794,0.01722,0.00105638,0.00105638,0.00105638
39,150.385,1.17186,1.5915,0.01107,0.66137,1,0.97,0.75238,0.9122,0.92377,0.01363,0.00103987,0.00103987,0.00103987
40,153.79,1.16264,1.55436,0.01223,0.88741,1,0.995,0.78021,0.90795,0.56284,0.01358,0.00102337,0.00102337,0.00102337
41,157.155,1.17289,1.4519,0.01224,0.97497,0.98539,0.995,0.72838,1.03845,0.45185,0.01556,0.00100687,0.00100687,0.00100687
42,160.512,1.09226,1.39448,0.01164,0.95007,1,0.995,0.67447,1.26855,0.46986,0.02006,0.000990365,0.000990365,0.000990365
43,163.841,1.05794,1.45189,0.01141,0.93397,0.9691,0.995,0.69116,1.13299,0.56526,0.01801,0.000973861,0.000973861,0.000973861
44,167.207,1.12148,1.35422,0.01157,0.77675,0.99778,0.995,0.7648,1.01447,0.50356,0.01616,0.000957358,0.000957358,0.000957358
45,170.746,1.14314,1.33916,0.01165,0.78046,1,0.995,0.71762,1.05704,0.48755,0.01636,0.000940855,0.000940855,0.000940855
46,174.022,1.08723,1.31836,0.01223,0.60795,1,0.995,0.70267,1.08706,0.58207,0.01681,0.000924352,0.000924352,0.000924352
47,177.363,1.09485,1.29928,0.01113,0.68909,1,0.995,0.76128,1.03124,0.53219,0.01603,0.000907848,0.000907848,0.000907848
48,180.736,1.09621,1.30641,0.01104,0.69548,1,0.995,0.76497,1.04717,0.58964,0.01677,0.000891345,0.000891345,0.000891345
