epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0423,1.84049,7.27215,0.0164,0.00385,0.7,0.20234,0.14836,1.56531,4.66648,0.01061,0.00020004,0.00020004,0.00020004
2,18.2266,1.47901,6.42519,0.01238,0.00471,0.7,0.15159,0.11517,1.72766,4.65751,0.01072,0.000412624,0.000412624,0.000412624
3,20.2657,1.30866,6.25927,0.01125,0.00448,0.7,0.35909,0.19192,1.8348,4.80029,0.01298,0.000620917,0.000620917,0.000620917
4,22.3242,1.28661,6.0466,0.00939,0.00426,0.7,0.47035,0.34886,1.55414,4.62219,0.00879,0.00082492,0.00082492,0.00082492
5,24.3499,1.35343,5.42108,0.01085,0.00432,0.7,0.4085,0.3229,1.69083,4.22784,0.01118,0.00102463,0.00102463,0.00102463
6,26.4035,1.2301,6.67509,0.01015,0.06415,0.7,0.39309,0.22268,2.04646,4.25644,0.017,0.00122005,0.00122005,0.00122005
7,28.4193,1.35388,5.37628,0.0114,0.62984,0.2,0.66203,0.31772,1.69877,4.28022,0.01488,0.00141118,0.00141118,0.00141118
8,30.4432,1.44216,5.902,0.01265,0.24903,0.7,0.54537,0.32449,1.69585,3.95994,0.01417,0.00155148,0.00155148,0.00155148
9,32.4427,1.53312,5.05729,0.01265,0.24903,0.7,0.54537,0.32449,1.69585,3.95994,0.01417,0.00153497,0.00153497,0.00153497
10,34.4839,1.27151,4.96208,0.01009,0.49567,0.7,0.57869,0.43854,1.38193,3.45008,0.00867,0.00151847,0.00151847,0.00151847
11,36.4695,1.22571,4.97024,0.0096,0.42019,0.40272,0.51202,0.4032,1.15576,3.53479,0.00749,0.00150197,0.00150197,0.00150197
12,38.4174,1.19804,4.57426,0.00874,0.40045,0.35,0.46758,0.34976,1.21044,3.58817,0.00789,0.00148546,0.00148546,0.00148546
13,40.3631,1.12891,4.93972,0.0094,0.7744,0.39869,0.52871,0.37237,1.21843,3.38062,0.00748,0.00146896,0.00146896,0.00146896
14,42.2158,1.10337,6.10371,0.00922,0.50433,0.7,0.61205,0.44594,1.40021,3.09395,0.00895,0.00145246,0.00145246,0.00145246
15,44.0349,1.24667,4.26976,0.00998,0.50433,0.7,0.61205,0.44594,1.40021,3.09395,0.00895,0.00143595,0.00143595,0.00143595
16,45.8817,1.20687,4.34476,0.00873,0.51655,0.45,0.57869,0.49669,1.42012,3.12148,0.00921,0.00141945,0.00141945,0.00141945
17,47.6735,1.18064,3.8305,0.00815,0.54549,0.69965,0.57868,0.42398,1.508,3.19932,0.01012,0.00140295,0.00140295,0.00140295
18,49.4501,1.2003,3.86735,0.00939,0.49202,0.45,0.57868,0.41489,1.48613,3.25596,0.00979,0.00138644,0.00138644,0.00138644
19,51.2407,1.24181,4.19206,0.0095,0.38146,0.45781,0.61202,0.47782,1.41559,3.12339,0.0096,0.00136994,0.00136994,0.00136994
20,53.1248,1.22627,4.13649,0.00873,0.38146,0.45781,0.61202,0.47782,1.41559,3.12339,0.0096,0.00135344,0.00135344,0.00135344
21,55.1237,1.13547,3.75341,0.00845,0.6085,0.60582,0.69536,0.55637,1.34245,3.01869,0.00924,0.00133693,0.00133693,0.00133693
22,56.9746,1.12296,4.02364,0.00859,0.93396,0.63185,0.69536,0.5908,1.18745,2.81406,0.00678,0.00132043,0.00132043,0.00132043
23,58.8048,1.1258,3.60238,0.00916,0.84389,0.66685,0.69537,0.57084,1.23341,2.74918,0.00861,0.00130393,0.00130393,0.00130393
24,60.6088,1.09931,4.03238,0.0096,0.98361,0.5,0.69538,0.58085,1.18755,2.79756,0.0075,0.00128742,0.00128742,0.00128742
25,62.4109,1.08008,3.54464,0.00887,0.98361,0.5,0.69538,0.58085,1.18755,2.79756,0.0075,0.00127092,0.00127092,0.00127092
26,64.3532,1.11756,3.52023,0.00857,0.69748,0.7,0.69538,0.61583,1.17425,2.68089,0.00685,0.00125442,0.00125442,0.00125442
27,66.1704,1.0793,3.61112,0.00827,0.8986,0.69876,0.69537,0.59887,1.26952,2.47156,0.0077,0.00123791,0.00123791,0.00123791
28,68.0165,1.12206,3.53725,0.0097,0.93035,0.7,0.69536,0.57933,1.36753,2.57798,0.0087,0.00122141,0.00122141,0.00122141
29,69.8223,1.22779,3.44457,0.00927,0.94923,0.7,0.69535,0.55127,1.51669,2.57604,0.00982,0.00120491,0.00120491,0.00120491
30,71.6404,1.18861,3.31551,0.00967,0.88396,0.69885,0.69535,0.52497,1.62005,2.60345,0.01152,0.0011884,0.0011884,0.0011884
