指令名,CSV格式,參數1,參數2,參數3,參數4,說明,回應,例子
PICKUP,PICKUP<LOCATION><ARM>,LOCATION (取料位置),ARM (F60_F/F60_R),,,"使用鏟子從指定位置取料",OK / ERROR,PICKUP,PICKUP_CUCUMBER,F60_F
CHOP,CHOP<FOOD_TYPE><NUM_CUTS><THICKNESS_MM>,FOOD_TYPE (CUCUMBER/ROMAINE),NUM_CUTS (切割次數),CUT_THICKNESS_MM (厚度mm),,"對食材進行切割操作",OK / BUSY / ERROR,CHOP,CUCUMBER,5,4
PLACE,PLACE<LOCATION><METHOD>,LOCATION (SALAD_BOWL/WAIT_ZONE/MIX_ZONE/WASTE_CORNER),METHOD (POUR/SCOOP/PUSH),,"將食材放到指定位置",OK / ERROR,PLACE,SALAD_BOWL,POUR
FLIP,FLIP<NUM_CYCLES><SPEED_PERCENT>,NUM_CYCLES (循環數),SPEED_PERCENT (1-100%),,,"對搅拌區食材進行翻炒混合",OK / ERROR,FLIP,6,50
HOME,HOME<ARM>,ARM (F60_F/F60_R),,,,"將指定手臂回到安全待機位置",OK / ERROR,HOME,F60_F
STOP,STOP,,,,,"緊急停止所有機器人動作",OK,STOP
RESET,RESET,,,,,"清除所有狀態重新初始化系統",OK,RESET
STATUS,STATUS<ARM>,ARM (F60_F/F60_R),,,,"查詢機器人當前狀態",OK / BUSY / ERROR,STATUS,F60_F
READY,READY<ARM>,ARM (F60_F/F60_R),,,,"查詢機器人是否就緒可接受下一指令",OK / BUSY,READY,F60_F
