epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,102.128,1.09034,2.64866,0.00987,0.77413,1,0.91167,0.67982,1.06489,1.69266,0.01446,0.000973861,0.000973861,0.000973861
44,103.847,1.04042,2.35365,0.00918,0.97305,1,0.995,0.69432,1.29934,1.63136,0.01822,0.000957358,0.000957358,0.000957358
45,106.479,1.0815,2.53841,0.00905,0.97746,1,0.995,0.71641,1.2301,1.51887,0.01739,0.000940855,0.000940855,0.000940855
46,109.22,0.97695,2.56457,0.00847,0.97946,1,0.995,0.73464,1.13146,1.44139,0.01551,0.000924352,0.000924352,0.000924352
47,111.79,0.97901,2.51318,0.0081,0.97946,1,0.995,0.73464,1.13146,1.44139,0.01551,0.000907848,0.000907848,0.000907848
48,114.443,0.97778,2.3924,0.00841,0.97566,1,0.995,0.76616,1.02251,1.39244,0.0134,0.000891345,0.000891345,0.000891345
49,117.102,0.95239,2.45195,0.00792,0.97491,1,0.995,0.76626,1.0629,1.40646,0.01379,0.000874842,0.000874842,0.000874842
50,119.781,1.05154,2.45318,0.00781,0.96357,1,0.995,0.77086,1.02498,1.3926,0.01272,0.000858338,0.000858338,0.000858338
51,122.351,0.99699,2.30603,0.00836,0.95848,1,0.995,0.74583,1.1659,1.46811,0.01434,0.000841835,0.000841835,0.000841835
52,125.079,0.99617,2.03741,0.0086,0.95937,0.98708,0.995,0.67509,1.32442,1.55596,0.01635,0.000825332,0.000825332,0.000825332
53,127.652,1.08173,2.34416,0.0093,0.95937,0.98708,0.995,0.67509,1.32442,1.55596,0.01635,0.000808828,0.000808828,0.000808828
54,130.295,1.01578,2.44879,0.00889,0.98534,0.9452,0.995,0.70009,1.26026,1.56708,0.01538,0.000792325,0.000792325,0.000792325
55,132.937,1.02584,2.19076,0.00909,0.89543,1,0.995,0.74603,1.15113,1.56389,0.01408,0.000775822,0.000775822,0.000775822
56,135.595,1.03995,2.0433,0.00843,0.96795,0.95688,0.995,0.72748,1.08942,1.49167,0.01291,0.000759318,0.000759318,0.000759318
57,138.162,1.04171,2.36591,0.00914,0.91868,0.96944,0.995,0.68077,1.17849,1.47366,0.01446,0.000742815,0.000742815,0.000742815
58,140.769,0.97325,2.13959,0.00808,0.91868,0.96944,0.995,0.68077,1.17849,1.47366,0.01446,0.000726312,0.000726312,0.000726312
59,143.67,0.96222,2.01127,0.00808,0.93239,0.75,0.91167,0.59238,1.34741,1.50312,0.01829,0.000709809,0.000709809,0.000709809
60,146.3,1.01289,2.10057,0.00874,0.8907,0.97363,0.995,0.65141,1.33404,1.45865,0.01907,0.000693305,0.000693305,0.000693305
61,148.168,0.89183,2.25484,0.00884,0.88748,0.97507,0.995,0.68171,1.22752,1.38748,0.01749,0.000676802,0.000676802,0.000676802
62,149.63,0.92048,1.94487,0.00779,0.91611,0.75,0.91167,0.65095,1.0633,1.32046,0.01438,0.000660299,0.000660299,0.000660299
63,151.097,0.93204,2.09583,0.00846,0.88952,0.96772,0.995,0.7279,1.0263,1.26205,0.01301,0.000643795,0.000643795,0.000643795
64,152.51,0.96033,1.93767,0.00783,0.88952,0.96772,0.995,0.7279,1.0263,1.26205,0.01301,0.000627292,0.000627292,0.000627292
65,154.046,1.07188,2.18316,0.00935,0.93792,0.99608,0.995,0.72104,1.03154,1.13416,0.01278,0.000610789,0.000610789,0.000610789
66,155.543,0.95994,1.94288,0.00847,0.9702,1,0.995,0.7208,1.06803,1.06748,0.01284,0.000594286,0.000594286,0.000594286
