epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6012,1.5517,7.78529,0.01779,0.01097,1,0.37129,0.13959,0.68392,4.84317,0.00954,0.00036674,0.00036674,0.00036674
2,19.5771,1.1367,6.38301,0.01244,0.00929,1,0.74333,0.61426,0.58892,4.68132,0.00846,0.000742724,0.000742724,0.000742724
3,22.595,1.16524,5.71696,0.012,0.00822,1,0.81583,0.65941,0.47024,4.23363,0.0061,0.00111112,0.00111112,0.00111112
4,25.5674,1.20134,5.12517,0.01286,0.84801,0.72804,0.85125,0.55803,1.32349,4.44152,0.02188,0.00147192,0.00147192,0.00147192
5,28.6216,1.26231,5.28372,0.01473,0.95355,0.5,0.87,0.54208,1.19985,4.27938,0.01837,0.00160099,0.00160099,0.00160099
6,31.5763,1.16566,4.28933,0.01139,0.2132,1,0.83429,0.68192,0.92355,3.60146,0.01353,0.00158448,0.00158448,0.00158448
7,34.556,1.21718,4.99033,0.0145,0.49993,0.75,0.84083,0.59706,1.04775,3.61681,0.0168,0.00156798,0.00156798,0.00156798
8,37.5165,1.22832,4.87499,0.01359,0.66133,0.75,0.84857,0.71786,0.84842,2.78114,0.01359,0.00155148,0.00155148,0.00155148
9,40.2511,1.22569,4.12295,0.01235,0.58072,0.75,0.85611,0.72039,0.81762,2.8816,0.01257,0.00153497,0.00153497,0.00153497
10,43.1142,1.27606,4.0998,0.01323,0.47448,0.875,0.9325,0.62745,1.09321,3.26287,0.01674,0.00151847,0.00151847,0.00151847
11,46.2241,1.20171,3.64419,0.01202,0.58717,0.875,0.92556,0.72344,1.08582,2.88167,0.01722,0.00150197,0.00150197,0.00150197
12,49.0289,1.20949,3.87468,0.01286,0.46313,0.93138,0.9325,0.74084,0.98848,2.64441,0.01587,0.00148546,0.00148546,0.00148546
13,51.8861,1.16841,3.89903,0.01267,0.88738,0.77453,0.92,0.69806,1.233,2.53146,0.01905,0.00146896,0.00146896,0.00146896
14,54.6409,1.19079,3.67672,0.01267,0.67119,0.84929,0.94143,0.7522,1.10052,2.42818,0.01693,0.00145246,0.00145246,0.00145246
15,57.5795,1.10932,3.30365,0.0106,0.84833,0.875,0.92556,0.73613,0.9552,2.30904,0.01411,0.00143595,0.00143595,0.00143595
16,60.4451,1.07918,3.46311,0.01117,0.75436,0.875,0.9325,0.72103,1.04554,2.27738,0.01567,0.00141945,0.00141945,0.00141945
17,63.4497,1.19847,3.08548,0.01201,0.61741,1,0.94143,0.76104,0.88073,1.93286,0.013,0.00140295,0.00140295,0.00140295
18,66.3182,1.22573,3.36291,0.01338,0.81394,0.875,0.94143,0.68558,1.40828,2.00219,0.02311,0.00138644,0.00138644,0.00138644
19,69.1103,1.22562,2.89356,0.01324,0.96317,0.875,0.95333,0.56353,1.94815,2.30984,0.03363,0.00136994,0.00136994,0.00136994
20,71.9732,1.25217,3.05977,0.0143,0.93037,0.75,0.92208,0.72794,1.04717,1.96322,0.01709,0.00135344,0.00135344,0.00135344
21,74.9285,1.1978,3.04545,0.01407,0.95018,0.8168,0.94143,0.76766,0.71642,1.98601,0.01202,0.00133693,0.00133693,0.00133693
22,77.9875,1.15785,3.05398,0.01287,0.89004,0.875,0.92556,0.79508,0.79995,1.93168,0.01265,0.00132043,0.00132043,0.00132043
23,80.7874,1.12804,2.69153,0.01158,0.89021,0.85942,0.92,0.74297,0.86768,1.93061,0.01293,0.00130393,0.00130393,0.00130393
24,83.6666,1.19473,2.97172,0.01416,0.76572,0.85066,0.8842,0.68057,0.77612,2.0921,0.01156,0.00128742,0.00128742,0.00128742
25,86.4934,1.17089,2.50036,0.01253,0.77259,0.875,0.92208,0.67082,0.87628,2.14249,0.01369,0.00127092,0.00127092,0.00127092
26,89.4143,1.13802,2.44932,0.01266,0.893,0.875,0.97,0.68106,1.38101,2.04867,0.02307,0.00125442,0.00125442,0.00125442
27,92.3498,1.23452,2.35338,0.01331,0.82144,0.95951,0.97,0.68243,1.25571,2.01138,0.02074,0.00123791,0.00123791,0.00123791
28,95.2339,1.08627,2.35657,0.01247,0.94825,0.86485,0.97,0.76558,1.03273,1.88513,0.01637,0.00122141,0.00122141,0.00122141
29,98.1097,1.1563,2.21626,0.01175,0.90498,0.875,0.94143,0.77897,1.17689,1.52301,0.01842,0.00120491,0.00120491,0.00120491
30,100.936,1.14822,2.39039,0.01319,0.86214,0.85787,0.94143,0.71566,1.15266,1.51057,0.01849,0.0011884,0.0011884,0.0011884
31,103.859,1.1614,2.13708,0.01335,0.95936,0.88536,0.995,0.77817,1.02211,1.22317,0.01665,0.0011719,0.0011719,0.0011719
32,106.66,1.19776,2.16106,0.01364,0.98388,0.88544,0.995,0.82142,1.01694,1.16289,0.01637,0.0011554,0.0011554,0.0011554
