epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2778,1.79928,7.00444,0.02486,0.00252,0.75,0.38818,0.25395,0.91782,4.78914,0.01309,6.668e-05,6.668e-05,6.668e-05
2,17.7961,1.82532,7.55444,0.02495,0.0036,1,0.25286,0.20136,0.89468,4.96617,0.01189,0.000148545,0.000148545,0.000148545
3,18.9632,1.13083,6.93364,0.0156,0.00375,1,0.23218,0.18461,1.14772,5.0487,0.01382,0.000228759,0.000228759,0.000228759
4,20.1143,1.18456,6.20804,0.0154,0.00419,1,0.50776,0.34725,1.04768,5.02527,0.013,0.000307323,0.000307323,0.000307323
5,21.2416,1.22856,6.35611,0.01561,0.00446,1,0.55278,0.40882,1.01272,5.00974,0.01267,0.000384237,0.000384237,0.000384237
6,22.3865,1.27338,5.4765,0.01522,0.00478,1,0.82833,0.46078,1.13294,5.00881,0.01569,0.0004595,0.0004595,0.0004595
7,23.4959,1.30818,5.61056,0.01621,0.00471,1,0.845,0.44178,1.12743,5.04211,0.01653,0.000533113,0.000533113,0.000533113
8,24.6612,1.2515,4.92589,0.01504,0.00491,1,0.91167,0.58185,0.96518,4.73486,0.01247,0.000605076,0.000605076,0.000605076
9,25.7604,1.14358,5.21325,0.01461,0.0051,1,0.995,0.60381,1.00934,4.64534,0.01344,0.000675388,0.000675388,0.000675388
10,26.8633,1.21519,4.96723,0.01467,0.00541,1,0.87,0.45662,1.12644,4.3726,0.01671,0.00074405,0.00074405,0.00074405
11,27.9684,1.19271,5.045,0.01518,0.00538,1,0.82833,0.31976,0.8168,4.75967,0.01135,0.000811062,0.000811062,0.000811062
12,29.0442,1.18431,4.3434,0.01455,0.00521,1,0.8075,0.33999,1.35527,4.43903,0.01997,0.000876424,0.000876424,0.000876424
13,30.1128,1.21416,4.59196,0.01578,0.00504,1,0.82833,0.44488,0.93018,4.24697,0.01235,0.000940135,0.000940135,0.000940135
14,31.3375,1.20881,4.84474,0.01486,0.58145,0.88185,0.845,0.57043,1.07141,3.77119,0.01412,0.0010022,0.0010022,0.0010022
15,32.3908,1.28693,4.34301,0.01638,0.81324,0.43973,0.91167,0.57628,1.45809,3.40136,0.0189,0.00106261,0.00106261,0.00106261
16,33.4358,1.29333,4.10636,0.01664,0.95707,0.5,0.995,0.68538,1.2842,3.07042,0.01715,0.00112137,0.00112137,0.00112137
17,34.5013,1.28191,4.42735,0.01689,0.96327,0.5,0.995,0.77401,0.92958,2.77436,0.01171,0.00117848,0.00117848,0.00117848
18,35.577,1.24055,3.90932,0.01483,0.84552,0.5,0.87,0.73753,0.6907,2.77662,0.00915,0.00123394,0.00123394,0.00123394
19,36.693,1.22532,3.91708,0.01506,0.84114,0.91667,0.995,0.78254,0.9306,2.62563,0.01294,0.00128774,0.00128774,0.00128774
20,37.7864,1.19003,3.70477,0.01394,0.86608,0.93054,0.995,0.74418,1.12857,2.44765,0.01623,0.0013399,0.0013399,0.0013399
21,38.8495,1.18039,3.51734,0.01474,0.84786,0.91508,0.995,0.72251,0.82237,2.44371,0.01135,0.00133693,0.00133693,0.00133693
22,39.8969,1.2114,3.92911,0.01717,0.84362,0.89066,0.995,0.74607,0.81585,2.4246,0.0111,0.00132043,0.00132043,0.00132043
23,40.9349,1.10553,3.73822,0.01431,0.85498,0.9434,0.995,0.6023,1.10472,2.53668,0.01592,0.00130393,0.00130393,0.00130393
24,41.9944,1.30797,3.59799,0.01621,0.8683,0.95127,0.995,0.66042,1.01311,2.41626,0.01395,0.00128742,0.00128742,0.00128742
25,43.1626,1.16783,3.49383,0.01339,0.89195,0.97189,0.995,0.72305,1.06544,1.99053,0.01458,0.00127092,0.00127092,0.00127092
26,44.2035,1.20873,3.45912,0.01513,0.89797,0.97648,0.995,0.72035,1.06868,1.93739,0.0156,0.00125442,0.00125442,0.00125442
27,45.2781,1.2062,3.3728,0.01629,0.97395,0.91367,0.995,0.72512,0.95467,1.98414,0.01325,0.00123791,0.00123791,0.00123791
28,46.3108,1.34304,3.25521,0.01517,0.98164,0.96723,0.995,0.7651,0.86314,2.21614,0.01031,0.00122141,0.00122141,0.00122141
29,47.4322,1.30442,3.39618,0.01692,1,0.97545,0.995,0.6999,1.2825,2.17586,0.01559,0.00120491,0.00120491,0.00120491
30,48.5329,1.17103,3.21982,0.01578,1,0.9828,0.995,0.53759,1.66284,2.23676,0.0263,0.0011884,0.0011884,0.0011884
31,49.5637,1.21774,3.0239,0.01646,1,0.98885,0.995,0.46058,1.78794,2.31925,0.03013,0.0011719,0.0011719,0.0011719
32,50.6329,1.15834,3.07591,0.01503,1,0.97236,0.995,0.58342,1.48839,2.06921,0.02379,0.0011554,0.0011554,0.0011554
33,51.6914,1.12575,2.87701,0.01355,1,0.92055,0.995,0.66468,1.2906,1.97935,0.01763,0.00113889,0.00113889,0.00113889
34,52.7385,1.13181,2.81942,0.01382,1,0.88166,0.995,0.63019,1.37013,1.98967,0.0181,0.00112239,0.00112239,0.00112239
35,53.8178,1.18033,2.79611,0.01406,0.98784,0.89124,0.995,0.57079,1.48799,2.03052,0.02036,0.00110589,0.00110589,0.00110589
36,54.9364,1.15136,2.82766,0.01408,1,0.98188,0.995,0.60301,1.43696,1.90331,0.02025,0.00108938,0.00108938,0.00108938
37,56.012,1.16567,3.0822,0.01624,0.94053,0.96301,0.995,0.6969,1.15761,1.75991,0.01624,0.00107288,0.00107288,0.00107288
38,57.0802,1.16533,2.56839,0.0148,0.89182,0.96094,0.995,0.71659,1.09504,1.83836,0.01484,0.00105638,0.00105638,0.00105638
39,58.1357,1.05676,2.63781,0.01298,0.85751,0.9726,0.995,0.71322,1.0971,1.73363,0.01588,0.00103987,0.00103987,0.00103987
40,59.3061,1.1845,2.42181,0.01542,0.84963,0.97566,0.995,0.73503,1.0746,1.69093,0.01535,0.00102337,0.00102337,0.00102337
41,60.5512,1.16988,2.74115,0.01526,0.87327,0.98134,0.995,0.79581,0.94721,1.54137,0.01363,0.00100687,0.00100687,0.00100687
42,61.6364,1.10798,2.43089,0.01348,0.90359,0.99293,0.995,0.77233,0.98661,1.45988,0.01404,0.000990365,0.000990365,0.000990365
43,62.672,1.15852,2.54524,0.01462,0.92435,1,0.995,0.70021,1.09907,1.43375,0.01502,0.000973861,0.000973861,0.000973861
44,63.7243,1.21525,2.37199,0.01488,0.91425,0.99093,0.995,0.68685,1.18078,1.42989,0.01594,0.000957358,0.000957358,0.000957358
45,64.804,1.22675,2.59987,0.01586,0.88721,0.98237,0.995,0.71003,1.15138,1.42395,0.0155,0.000940855,0.000940855,0.000940855
46,65.8444,1.2639,2.38577,0.01519,0.89875,0.98437,0.995,0.7793,1.00768,1.38557,0.01362,0.000924352,0.000924352,0.000924352
47,66.98,1.14828,2.31007,0.01404,0.90957,0.9858,0.995,0.75988,1.00695,1.21544,0.01371,0.000907848,0.000907848,0.000907848
48,68.032,1.22317,2.26322,0.01547,0.91322,0.98165,0.995,0.70466,1.07163,1.21215,0.01494,0.000891345,0.000891345,0.000891345
49,69.062,1.13539,2.5124,0.01501,0.93246,0.99409,0.995,0.72531,1.13613,1.15603,0.01568,0.000874842,0.000874842,0.000874842
50,70.1195,1.14363,2.09311,0.01478,0.93792,0.99829,0.995,0.7506,1.07651,1.05424,0.01427,0.000858338,0.000858338,0.000858338
51,71.2036,1.0629,2.34858,0.01202,0.93115,0.99558,0.995,0.74165,1.05767,0.96382,0.01375,0.000841835,0.000841835,0.000841835
