epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9716,1.81322,15.7526,0.02555,0.00607,1,0.04898,0.03282,0.57947,7.84945,0.00839,0.00021671,0.00021671,0.00021671
2,20.2743,1.11284,14.358,0.01543,0.02718,1,0.14938,0.09632,0.72066,8.32758,0.00935,0.000445634,0.000445634,0.000445634
3,22.4558,1.12107,13.9884,0.01482,0.00741,1,0.87,0.54461,0.7889,8.09568,0.00998,0.000669937,0.000669937,0.000669937
4,24.6614,1.11017,10.8055,0.01432,0.00666,1,0.91167,0.71715,0.6796,7.43429,0.00802,0.00088962,0.00088962,0.00088962
5,26.8055,1.21899,14.1115,0.01637,0.00577,1,0.87,0.69838,0.81547,6.91123,0.01026,0.00110468,0.00110468,0.00110468
6,29.0879,1.155,11.7955,0.01428,0.96503,0.92028,0.995,0.82929,0.64885,6.12685,0.00842,0.00131512,0.00131512,0.00131512
7,31.2716,1.37771,12.9941,0.01701,0.7214,0.94666,0.91167,0.51697,1.41943,6.26019,0.01829,0.00152094,0.00152094,0.00152094
8,33.4103,1.26495,11.8102,0.01574,0.81279,0.93945,0.995,0.52309,1.33114,6.09356,0.01685,0.00155148,0.00155148,0.00155148
9,35.6227,1.17469,10.9285,0.01448,0.49056,1,0.995,0.48914,1.39735,6.13318,0.01819,0.00153497,0.00153497,0.00153497
10,37.8785,1.15492,11.235,0.01441,0.84124,0.72907,0.91167,0.71413,0.84931,5.25407,0.00988,0.00151847,0.00151847,0.00151847
11,40.0845,1.15986,10.2815,0.01579,0.62238,1,0.995,0.79657,0.89181,5.24272,0.01129,0.00150197,0.00150197,0.00150197
12,42.2483,1.1554,9.37788,0.014,0.40817,1,0.995,0.72545,1.12767,5.26853,0.01686,0.00148546,0.00148546,0.00148546
13,44.5004,1.17174,10.6554,0.01428,0.75606,0.87811,0.995,0.73898,1.23761,4.91379,0.01787,0.00146896,0.00146896,0.00146896
14,46.6695,1.15649,10.0987,0.01573,0.75606,0.87811,0.995,0.73898,1.23761,4.91379,0.01787,0.00145246,0.00145246,0.00145246
15,48.8618,1.2396,9.75058,0.01634,0.7967,0.977,0.995,0.67094,1.44296,4.77321,0.01991,0.00143595,0.00143595,0.00143595
16,51.0161,1.18827,8.16235,0.01472,0.90867,0.99369,0.995,0.6618,1.38513,4.78858,0.01912,0.00141945,0.00141945,0.00141945
17,53.1529,1.22141,9.1563,0.01537,0.79578,1,0.995,0.69107,1.2659,4.61116,0.01918,0.00140295,0.00140295,0.00140295
18,55.2924,1.23533,7.84419,0.01587,0.87343,1,0.995,0.72844,1.1077,4.23093,0.01595,0.00138644,0.00138644,0.00138644
19,57.4462,1.20798,9.61913,0.01543,0.98647,0.90821,0.995,0.73608,1.02045,4.2126,0.01298,0.00136994,0.00136994,0.00136994
20,59.5741,1.13653,7.52,0.01299,0.69052,0.63577,0.87,0.54056,1.30898,4.44693,0.01698,0.00135344,0.00135344,0.00135344
21,61.8177,1.14989,6.92232,0.01387,0.69581,0.90545,0.91167,0.6965,1.01414,4.17644,0.01235,0.00133693,0.00133693,0.00133693
22,63.9633,1.20577,7.89661,0.01475,0.69581,0.90545,0.91167,0.6965,1.01414,4.17644,0.01235,0.00132043,0.00132043,0.00132043
23,66.1407,1.21018,8.10883,0.01719,0.78313,0.88247,0.91167,0.71013,0.83424,4.0312,0.01068,0.00130393,0.00130393,0.00130393
24,68.2607,1.15289,7.67852,0.01529,1,0.87211,0.995,0.75748,0.96941,3.97867,0.01274,0.00128742,0.00128742,0.00128742
25,70.4433,1.19837,7.21816,0.0164,1,0.81255,0.995,0.76054,0.9931,3.88425,0.01269,0.00127092,0.00127092,0.00127092
26,72.6824,1.11436,7.41141,0.01501,0.85865,0.91977,0.995,0.78092,0.94385,3.71535,0.0123,0.00125442,0.00125442,0.00125442
27,74.9122,1.13493,6.62997,0.01463,0.90821,1,0.995,0.78179,0.95165,3.54525,0.01285,0.00123791,0.00123791,0.00123791
28,77.0129,1.21066,7.65862,0.01695,0.92508,0.97261,0.995,0.82367,0.91707,3.33838,0.01259,0.00122141,0.00122141,0.00122141
29,79.2023,1.13391,6.72913,0.01447,0.85406,1,0.995,0.79133,0.91192,3.23249,0.01332,0.00120491,0.00120491,0.00120491
30,81.296,1.11135,7.39641,0.01441,0.85406,1,0.995,0.79133,0.91192,3.23249,0.01332,0.0011884,0.0011884,0.0011884
