epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1125.41,0.69828,0.32696,0.04717,0.01438,0.97951,0.97547,0.98973,0.88313,0.59869,0.1982,0.0502,0.00564,0.000919704,0.000919704,0.000919704
38,1151.02,0.74704,0.30325,0.04307,0.01791,0.98908,0.974,0.99327,0.86701,0.59998,0.21448,0.04563,0.00639,0.000905557,0.000905557,0.000905557
39,1176.41,0.72128,0.30365,0.04033,0.01462,0.96764,0.97654,0.99308,0.87859,0.59767,0.21439,0.04529,0.0059,0.00089141,0.00089141,0.00089141
40,1201.47,0.70768,0.31953,0.04291,0.01621,0.97277,0.98721,0.99403,0.87778,0.59467,0.21312,0.04558,0.00739,0.000877263,0.000877263,0.000877263
41,1225.92,0.72355,0.31549,0.04193,0.01485,0.96506,0.98851,0.99254,0.89224,0.54286,0.21999,0.04402,0.0035,0.000863116,0.000863116,0.000863116
42,1249.97,0.70271,0.31805,0.04405,0.01326,0.96943,0.97154,0.99136,0.89157,0.53031,0.21132,0.04317,0.00322,0.000848969,0.000848969,0.000848969
43,1274.47,0.71352,0.30628,0.04002,0.01477,0.98305,0.96624,0.99251,0.88972,0.55024,0.20435,0.04392,0.00495,0.000834822,0.000834822,0.000834822
44,1300.74,0.71125,0.29497,0.04205,0.01655,0.98272,0.98422,0.99468,0.88733,0.56295,0.20373,0.04808,0.00385,0.000820675,0.000820675,0.000820675
45,1325.45,0.71292,0.27427,0.04337,0.01646,0.99516,0.98744,0.99455,0.88338,0.58529,0.18302,0.05016,0.00415,0.000806528,0.000806528,0.000806528
46,1351.13,0.64667,0.30787,0.04605,0.01187,0.9905,0.98517,0.99453,0.89091,0.54038,0.17826,0.05134,0.0035,0.00079238,0.00079238,0.00079238
47,1376.47,0.67965,0.28415,0.04549,0.01105,0.99558,0.96155,0.99265,0.88525,0.5787,0.20236,0.05391,0.0054,0.000778233,0.000778233,0.000778233
48,1401.5,0.62508,0.27861,0.05158,0.01316,0.98721,0.97396,0.99238,0.89384,0.54971,0.20064,0.05542,0.00781,0.000764086,0.000764086,0.000764086
49,1426.54,0.64824,0.25619,0.04956,0.01313,0.97022,0.98679,0.99226,0.8982,0.53469,0.2045,0.05314,0.00374,0.000749939,0.000749939,0.000749939
50,1451.58,0.6917,0.273,0.04705,0.0146,0.98304,0.97048,0.99235,0.88405,0.5679,0.20263,0.05464,0.00406,0.000735792,0.000735792,0.000735792
51,1475.68,0.67964,0.29195,0.04625,0.01382,0.98363,0.99696,0.99365,0.90195,0.54393,0.18136,0.05415,0.00376,0.000721645,0.000721645,0.000721645
52,1499.66,0.67413,0.26929,0.04531,0.01206,0.98524,0.98661,0.99468,0.8951,0.55207,0.18432,0.05086,0.00431,0.000707498,0.000707498,0.000707498
53,1524.27,0.68314,0.28624,0.04969,0.01569,0.99636,0.98163,0.99453,0.89469,0.53914,0.17665,0.05193,0.00373,0.000693351,0.000693351,0.000693351
54,1549.27,0.65215,0.29608,0.04683,0.01337,0.98482,0.97288,0.99357,0.89191,0.52804,0.18298,0.04975,0.00314,0.000679204,0.000679204,0.000679204
55,1574.07,0.67932,0.26688,0.04285,0.01472,0.98324,0.98354,0.99356,0.89457,0.53477,0.19504,0.05064,0.00359,0.000665057,0.000665057,0.000665057
56,1600.15,0.67514,0.29154,0.04408,0.01502,0.97447,0.99167,0.99412,0.89597,0.53295,0.18465,0.04791,0.00303,0.000650909,0.000650909,0.000650909
57,1625.44,0.69162,0.30096,0.04498,0.01278,0.984,1,0.995,0.9037,0.54716,0.18133,0.04781,0.00431,0.000636762,0.000636762,0.000636762
58,1650.79,0.65983,0.29171,0.0403,0.0128,0.9951,0.98216,0.99438,0.89077,0.54765,0.17954,0.04855,0.0033,0.000622615,0.000622615,0.000622615
59,1675.78,0.64506,0.30653,0.03972,0.01403,0.98608,1,0.99484,0.9061,0.50774,0.16099,0.05023,0.00308,0.000608468,0.000608468,0.000608468
60,1700.72,0.61136,0.25617,0.0416,0.00893,0.97341,0.99148,0.99436,0.90564,0.51243,0.17547,0.04957,0.00335,0.000594321,0.000594321,0.000594321
61,1724.9,0.62661,0.27022,0.04439,0.01299,0.98647,0.99856,0.99468,0.90497,0.52051,0.1716,0.04861,0.00309,0.000580174,0.000580174,0.000580174
62,1752.53,0.67019,0.27367,0.04314,0.01189,0.9871,0.98952,0.99437,0.90408,0.53132,0.17351,0.04689,0.00371,0.000566027,0.000566027,0.000566027
63,1777.47,0.65439,0.27288,0.04191,0.01475,0.99125,0.96665,0.99288,0.89589,0.53138,0.18956,0.0498,0.00383,0.00055188,0.00055188,0.00055188
64,1802.51,0.65783,0.29692,0.04543,0.01211,0.97779,0.98578,0.99397,0.90056,0.5068,0.17802,0.05019,0.00357,0.000537733,0.000537733,0.000537733
65,1827.47,0.65135,0.33329,0.04219,0.01426,0.99105,0.98702,0.99369,0.90172,0.5152,0.18738,0.05179,0.00357,0.000523586,0.000523586,0.000523586
