epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,269.343,1.34685,1.36828,0.01455,0.96904,1,0.995,0.81079,0.73366,0.27965,0.01052,0.000973861,0.000973861,0.000973861
44,275.607,1.31246,1.34118,0.01504,0.96452,1,0.995,0.73519,0.95787,0.2737,0.01435,0.000957358,0.000957358,0.000957358
45,281.694,1.33985,1.32512,0.01489,0.75613,1,0.995,0.87857,0.75395,0.39402,0.01099,0.000940855,0.000940855,0.000940855
46,287.706,1.35847,1.3401,0.01519,0.75575,1,0.995,0.77807,0.90805,0.50881,0.01389,0.000924352,0.000924352,0.000924352
47,293.722,1.34131,1.24182,0.01502,0.65502,1,0.995,0.81978,0.7645,0.49748,0.01163,0.000907848,0.000907848,0.000907848
48,299.752,1.27432,1.2163,0.01347,0.84283,1,0.995,0.82881,0.64717,0.30615,0.00942,0.000891345,0.000891345,0.000891345
49,305.643,1.30531,1.22637,0.01445,0.8385,1,0.995,0.81457,0.74304,0.36568,0.01152,0.000874842,0.000874842,0.000874842
50,311.517,1.30021,1.21399,0.01478,0.86498,1,0.995,0.83936,0.78617,0.33785,0.01191,0.000858338,0.000858338,0.000858338
51,317.401,1.3153,1.19429,0.01366,0.90414,1,0.995,0.809,0.80577,0.34905,0.0124,0.000841835,0.000841835,0.000841835
52,323.469,1.30021,1.20954,0.01424,0.8592,1,0.995,0.79451,0.79039,0.33053,0.0117,0.000825332,0.000825332,0.000825332
53,329.343,1.32216,1.12827,0.01422,0.94359,1,0.995,0.86867,0.56979,0.21891,0.00795,0.000808828,0.000808828,0.000808828
54,335.177,1.26966,1.09294,0.01328,0.94572,1,0.995,0.84075,0.6933,0.22876,0.00977,0.000792325,0.000792325,0.000792325
55,340.86,1.32075,1.21831,0.01446,0.93559,1,0.995,0.83452,0.64221,0.22519,0.00868,0.000775822,0.000775822,0.000775822
56,346.607,1.26746,1.18122,0.0141,0.97133,1,0.995,0.87462,0.61251,0.21478,0.00895,0.000759318,0.000759318,0.000759318
57,352.564,1.26237,1.15366,0.01361,0.9087,1,0.995,0.91291,0.61641,0.29603,0.00911,0.000742815,0.000742815,0.000742815
58,358.436,1.28204,1.1363,0.01451,0.95288,1,0.995,0.9047,0.63116,0.19743,0.00948,0.000726312,0.000726312,0.000726312
59,366.123,1.26935,1.13998,0.01356,0.97487,1,0.995,0.85973,0.65685,0.17638,0.00967,0.000709809,0.000709809,0.000709809
60,372.58,1.25681,1.09695,0.01334,0.95645,1,0.995,0.81335,0.80744,0.23738,0.0123,0.000693305,0.000693305,0.000693305
61,378.848,1.27523,1.2106,0.01378,0.87859,1,0.995,0.9007,0.5107,0.27797,0.00765,0.000676802,0.000676802,0.000676802
62,385.348,1.20667,1.12101,0.01326,0.86084,1,0.995,0.89874,0.53031,0.31947,0.00801,0.000660299,0.000660299,0.000660299
63,392.129,1.22532,1.131,0.0135,0.94443,0.98322,0.995,0.9209,0.50897,0.27786,0.00735,0.000643795,0.000643795,0.000643795
64,398.832,1.2621,1.15892,0.01337,0.92597,1,0.995,0.90049,0.4859,0.27858,0.00685,0.000627292,0.000627292,0.000627292
65,405.243,1.23626,1.1623,0.01344,0.87135,1,0.995,0.89916,0.57767,0.3525,0.00851,0.000610789,0.000610789,0.000610789
66,411.473,1.21685,1.12377,0.01302,0.85149,1,0.995,0.89842,0.53601,0.4609,0.00795,0.000594286,0.000594286,0.000594286
67,417.586,1.23421,1.14704,0.01342,0.92307,1,0.995,0.83871,0.59275,0.3039,0.00919,0.000577782,0.000577782,0.000577782
68,424.314,1.20618,1.05911,0.01303,0.76689,1,0.995,0.86724,0.54243,0.33869,0.00814,0.000561279,0.000561279,0.000561279
69,430.754,1.20386,1.09199,0.01303,0.91978,1,0.995,0.8414,0.67436,0.33253,0.01017,0.000544776,0.000544776,0.000544776
70,436.881,1.18475,0.98226,0.01286,0.95345,1,0.995,0.84575,0.64723,0.32483,0.00953,0.000528272,0.000528272,0.000528272
71,443.185,1.25012,1.11794,0.0128,0.71734,1,0.995,0.85054,0.48308,0.35728,0.00713,0.000511769,0.000511769,0.000511769
72,449.517,1.20914,1.0323,0.01267,0.94731,0.99366,0.995,0.85043,0.58192,0.33133,0.00853,0.000495266,0.000495266,0.000495266
73,455.92,1.1779,1.02651,0.01254,0.95754,1,0.995,0.84903,0.66587,0.25781,0.00986,0.000478762,0.000478762,0.000478762
74,462.081,1.18233,1.03653,0.01314,0.89997,1,0.995,0.85915,0.46829,0.23464,0.00675,0.000462259,0.000462259,0.000462259
75,468.472,1.18158,1.01264,0.01291,0.77866,1,0.995,0.87471,0.44316,0.23493,0.00641,0.000445756,0.000445756,0.000445756
76,474.771,1.21643,1.15225,0.01369,0.86227,1,0.995,0.84954,0.51825,0.25809,0.00753,0.000429253,0.000429253,0.000429253
77,480.979,1.12874,0.94744,0.01236,0.87022,1,0.995,0.84926,0.57103,0.27257,0.0083,0.000412749,0.000412749,0.000412749
78,487.206,1.12231,1.04836,0.01197,0.94718,1,0.995,0.85915,0.54248,0.20363,0.00789,0.000396246,0.000396246,0.000396246
79,493.327,1.22127,1.05859,0.01331,0.96265,1,0.995,0.87797,0.46104,0.17417,0.00639,0.000379743,0.000379743,0.000379743
80,499.52,1.17872,1.02157,0.01304,0.97314,1,0.995,0.87465,0.46132,0.17475,0.00633,0.000363239,0.000363239,0.000363239
81,505.654,1.16576,0.96309,0.01193,0.9702,1,0.995,0.89798,0.60861,0.21053,0.00878,0.000346736,0.000346736,0.000346736
82,511.816,1.15331,1.00443,0.01267,0.9743,1,0.995,0.85,0.60771,0.20307,0.00892,0.000330233,0.000330233,0.000330233
83,518.004,1.15793,0.98765,0.01234,0.97981,1,0.995,0.87805,0.48048,0.16788,0.00674,0.000313729,0.000313729,0.000313729
84,524.096,1.16996,1.02597,0.01298,0.96879,1,0.995,0.87805,0.48157,0.16702,0.00671,0.000297226,0.000297226,0.000297226
85,530.04,1.1504,0.98107,0.0122,0.96824,1,0.995,0.86421,0.49937,0.18611,0.00702,0.000280723,0.000280723,0.000280723
86,536.14,1.18198,0.99883,0.01217,0.96854,1,0.995,0.86416,0.56043,0.19671,0.00802,0.00026422,0.00026422,0.00026422
87,541.937,1.18382,1.02646,0.01243,0.97016,1,0.995,0.83869,0.63629,0.20917,0.00932,0.000247716,0.000247716,0.000247716
88,547.739,1.18198,0.95515,0.01164,0.97187,1,0.995,0.86427,0.56413,0.19724,0.00796,0.000231213,0.000231213,0.000231213
89,553.532,1.11831,0.97095,0.01214,0.96453,1,0.995,0.872,0.51127,0.20372,0.00709,0.00021471,0.00021471,0.00021471
90,559.467,1.15675,1.02177,0.0118,0.96676,1,0.995,0.87184,0.52818,0.20891,0.00727,0.000198206,0.000198206,0.000198206
91,574.383,0.97357,0.63708,0.01079,0.97909,1,0.995,0.8527,0.54899,0.19317,0.00782,0.000181703,0.000181703,0.000181703
92,580.279,0.97414,0.66675,0.01111,0.98028,1,0.995,0.84903,0.57544,0.19412,0.00805,0.0001652,0.0001652,0.0001652
93,586.139,0.9502,0.61922,0.01061,0.979,1,0.995,0.86421,0.62532,0.18971,0.00904,0.000148696,0.000148696,0.000148696
94,592.056,0.96188,0.6704,0.01049,0.97662,1,0.995,0.86421,0.60157,0.19593,0.00868,0.000132193,0.000132193,0.000132193
95,597.89,0.95576,0.65018,0.01067,0.98063,1,0.995,0.85809,0.54843,0.18451,0.00791,0.00011569,0.00011569,0.00011569
96,603.738,0.94191,0.65709,0.01056,0.98038,1,0.995,0.85809,0.49007,0.17078,0.00689,9.91865e-05,9.91865e-05,9.91865e-05
97,610.018,0.89057,0.63601,0.01008,0.97884,1,0.995,0.8594,0.46528,0.16834,0.00655,8.26832e-05,8.26832e-05,8.26832e-05
98,615.843,0.91075,0.60576,0.01044,0.97756,1,0.995,0.85947,0.48432,0.16487,0.00688,6.61799e-05,6.61799e-05,6.61799e-05
99,621.664,0.95778,0.63299,0.0116,0.97312,1,0.995,0.8594,0.49238,0.16709,0.00704,4.96766e-05,4.96766e-05,4.96766e-05
100,627.572,0.94226,0.66604,0.01073,0.97136,1,0.995,0.8594,0.49861,0.16756,0.00699,3.31733e-05,3.31733e-05,3.31733e-05
